pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^[a-f0-9]{32}$;../runGen4Rest/hyper-03-08/bech2-between_9322_1.txt;1.21;0.0;0.0;0.29;0.12;0.4;0.0;0.36;0.24;0.02;0.02;0.18;0.25;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15};../runGen4Rest/hyper-03-08/internetSources-between_30_1.txt;0.0;0.03;0.03;0.86;7.7;1.0;0.02;0.28;0.91;0.1;1.2;1.45;3.03;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;../runGen4Rest/hyper-03-08/internetSources-between_84_1.txt;0.02;0.0;0.0;0.31;0.12;0.4;0.0;0.25;0.11;0.02;0.02;0.16;0.24;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^(429496729[0-6]|42949672[0-8]\d|4294967[01]\d{2}|429496[0-6]\d{3}|42949[0-5]\d{4}|4294[0-8]\d{5}|429[0-3]\d{6}|42[0-8]\d{7}|4[01]\d{8}|[1-3]\d{9}|[1-9]\d{8}|[1-9]\d{7}|[1-9]\d{6}|[1-9]\d{5}|[1-9]\d{4}|[1-9]\d{3}|[1-9]\d{2}|[1-9]\d|\d)$;../runGen8/texts/missing-hyper2/missing-20-08_08_1.txt;0.01;0.01;0.0;0.74;0.14;TO;0.0;0.3;0.08;0.01;0.01;0.16;0.26;0.7;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
^(\d|\d{1,9}|1\d{1,9}|20\d{8}|213\d{7}|2146\d{6}|21473\d{5}|214747\d{4}|2147482\d{3}|21474835\d{2}|214748364[0-7])$;../runGen8/texts/missing-hyper2/missing-20-08_16_1.txt;0.02;0.02;0.0;0.7;0.15;0.73;0.0;0.3;0.1;0.02;0.01;0.16;0.24;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
""((\d{4}|\d{2})-(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)-(\d{4}|\d{2}))|((\d{4}|\d{2})-\d{2}-(\d{4}|\d{2}))|((\d{4}|\d{2})\/(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\/(\d{4}|\d{2}))|((\d{4}|\d{2})\/(\d{3}|\d{2})\/(\d{4}|\d{2}))|([0-3][0-9]((st)|(nd)|(rd)|(th))((\s)?)(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec))"""", """"Bill dated 27-May-18 for your airtel fixedline/broadband ID ##### has been sent at abc@abc.com from ebill@abc.com. Due amount: Rs 2,358.82, due date: 15-Jun-18"";../runGen8/texts/missing-hyper2/missing-20-08_23_1.txt;0.0;0.08;0.06;1.21;TO;TO;0.0;0.26;3.79;0.26;7.67;4.32;4.27;1.58;0;0;0;0;TO;TO;ERR;0;0;0;0;0;0;0;11.0
"", ""([^%]{500}[^\n]+)[^%]*;../runGen8/texts/missing-hyper2/missing-20-08_26_1.txt;3.43;1.07;0.01;0.4;0.21;0.45;0.09;0.24;0.26;0.02;0.02;0.06;0.38;0.95;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000332
"", ""."", ""<f:validateRegex pattern=""([a-zA-Z_0-9])\.{4,32}"" />;../runGen8/texts/missing-hyper2/missing-20-08_29_1.txt;0.01;0.01;0.03;0.61;0.86;0.66;0.04;0.29;0.09;0.02;0.02;0.13;0.43;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
"", ""[ ]"", ""[+]46"", ""\+46"", ""[+]\d{46}"", ""[+46];../runGen8/texts/missing-hyper2/missing-20-08_30_1.txt;0.02;0.01;0.01;0.46;0.14;0.61;0.0;0.32;0.07;0.03;0.02;0.05;0.31;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000054
"", ""[- \w().[\]!#,&*+:'/]{1,80};../runGen8/texts/missing-hyper2/missing-20-08_31_1.txt;0.02;0.02;0.01;0.92;0.16;0.9;0.0;0.29;0.15;0.02;0.02;0.05;0.08;1.22;0;1;1;1;1;1;ERR;0;ERR;1;1;1;;1;17.000005
"", ""[-+&/,A-z0-9\s]{1,127};../runGen8/texts/missing-hyper2/missing-20-08_32_1.txt;0.04;0.02;0.01;0.4;0.18;0.48;0.0;0.28;0.08;0.02;0.02;0.04;0.36;0.73;0;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000008
"", ""\\X{20,}"", ""\\X{20,}"", """", ""\;../runGen8/texts/missing-hyper2/missing-20-08_33_1.txt;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.28;0.08;0.01;ERR;0.02;0.07;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR;21.000116
"", ""\d{4}\d{2}\d{2}"", ""\d{4}\d{2}\d{2}"", ""d{2}"", ""\d{4}"", ""(\d{4})(\d{2})(\d{2});../runGen8/texts/missing-hyper2/missing-20-08_34_1.txt;0.02;0.1;0.01;0.4;0.14;0.68;0.0;0.3;0.06;0.01;0.02;0.04;0.26;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.0
"", ""pattern=""[0-9]{7}"""", ""input( type=""tel"", pattern=""\d{7}"" )"", ""<input type=""tel"" pattern=""d{7}"">;../runGen8/texts/missing-hyper2/missing-20-08_35_1.txt;0.04;0.05;0.01;0.46;0.13;0.59;0.0;0.28;0.07;0.01;0.01;0.04;0.25;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000011
"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"")"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"",std::regex_constants::extended);../runGen8/texts/missing-hyper2/missing-20-08_36_1.txt;0.82;0.02;0.02;0.52;0.65;0.77;0.01;0.31;0.15;0.02;0.08;0.1;0.79;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000088
"", ""{1,24};../runGen8/texts/missing-hyper2/missing-20-08_37_1.txt;0.01;0.01;0.01;0.38;0.15;0.43;0.0;0.26;0.08;0.03;0.02;0.04;0.31;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000006
""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+)"""", ""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+);../runGen8/texts/missing-hyper2/missing-20-08_40_1.txt;0.02;0.02;0.01;0.5;0.22;1.42;0.01;0.3;0.09;0.01;0.02;0.05;0.42;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.00708
""I - (Fab|Opt) - [0-9]+ - ([0-9]{4}/[0-9]{2}/[0-9]{2}) ([0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]{3}) - .+ Bus / (.+) : 500|.+|003([0-9]{7}).+"""", ;../runGen8/texts/missing-hyper2/missing-20-08_41_1.txt;0.02;0.44;0.02;0.44;0.71;3.17;0.06;0.28;0.26;0.03;0.02;0.06;0.38;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.0
""USSS"",(\d+\.\d{12}),(\d+\.\d{12});../runGen8/texts/missing-hyper2/missing-20-08_43_1.txt;0.02;0.04;0.0;0.4;0.13;0.47;0.0;0.29;0.08;0.02;0.02;0.03;0.24;0.7;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.001015
""[0-9]{0,14}"""", ""{0,14};../runGen8/texts/missing-hyper2/missing-20-08_45_1.txt;0.04;0.01;0.03;0.54;1.6;0.86;0.03;0.29;0.41;0.04;0.02;0.2;0.53;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000003
""[A-Z0-9]{3}_[ -~]{1,28}"""", ""[A-Z0-9]{3}_[ -~]{1,28}"", ""nginx: [emerg] invalid condition ""[A-Z0-9]"" in /etc/nginx/nginx.conf:29;../runGen8/texts/missing-hyper2/missing-20-08_46_1.txt;0.0;0.14;0.0;0.36;0.12;7.45;0.0;0.28;0.07;0.0;0.01;0.02;0.25;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.00001
""[\d\-\s]{10,25}"" to match your criteria"", ""\d"", ""\w;../runGen8/texts/missing-hyper2/missing-20-08_47_1.txt;0.01;0.02;0.01;1.09;0.64;1.14;0.02;0.29;0.16;0.02;0.02;0.06;0.41;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000052
""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*"""", ""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*;../runGen8/texts/missing-hyper/missingHyper_9053_1.txt;0.02;0.01;0.04;0.63;TO;0.96;0.02;0.26;TO;TO;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;0;TO;TO;TO
^[\w]{4,35}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990074_1.txt;0.01;0.01;0.01;2.43;0.12;1.26;0.02;0.27;0.22;0.01;0.02;0.15;0.26;0.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[\w|\ ]+(\ {0,})\n(\-{40});../runGen4Rest/hyper-03-08/stackoverflow-between_990075_1.txt;0.01;0.0;0.01;2.27;0.14;1.52;0.0;0.3;0.07;0.01;0.02;0.17;0.25;0.63;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
^[\x20-\x5b\x5d-\x7e]{8,127}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990076_1.txt;ERR;0.01;0.01;0.3;0.14;0.36;0.0;0.23;0.23;0.01;0.03;0.16;0.22;0.54;ERR;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[^-\s]([a-z0-9]|[a-z0-9\s-]){3,50}[^-\s]+$;../runGen4Rest/hyper-03-08/stackoverflow-between_990077_1.txt;1.01;0.02;0.01;0.42;0.14;0.43;0.0;0.3;0.52;0.02;0.02;0.16;0.24;0.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.319892
^[^.\n]+\.[a-z]{2,63}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990078_1.txt;0.96;0.01;0.0;0.34;0.14;0.4;0.0;0.28;0.34;0.02;0.02;0.17;0.23;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[^@]*([a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{12});../runGen4Rest/hyper-03-08/stackoverflow-between_990079_1.txt;TO;0.03;0.02;0.52;2.75;1.12;0.02;0.26;1.13;0.03;0.73;0.81;1.16;1.11;TO;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[^\d\x20]{0,11}\d{1}[^\d\x20]{0,11}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990081_1.txt;0.0;0.0;0.0;0.26;0.07;0.32;0.0;0.5;0.18;0.01;0.01;0.08;0.25;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300005
^[^\d]+\d{2} (\d{2} [^ ]+ [^ ]+)"", ""(\d{1,5} [^\d]{5,20}(dr|drive)(\.|\s|\,));../runGen4Rest/hyper-03-08/stackoverflow-between_990082_1.txt;0.01;0.0;0.0;0.54;0.12;0.59;0.0;0.39;0.29;0.02;0.02;0.17;0.32;0.68;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.519152
^[^s][a-zA-Z0-9_ ]{1,50}[^s]$;../runGen4Rest/hyper-03-08/stackoverflow-between_990085_1.txt;0.3;0.0;0.0;0.26;0.1;0.38;0.0;0.23;0.47;0.01;0.02;0.12;0.22;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300011
^[a-f0-9A-F]{32}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990087_1.txt;1.2;0.01;0.0;0.2;0.08;0.35;0.0;0.27;0.22;0.02;0.01;0.16;0.25;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-f0-9]{32,32}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990088_1.txt;0.68;0.0;0.0;0.26;0.11;0.38;0.0;0.24;0.16;0.0;0.0;0.16;0.17;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-f0-9]{8}(-)[a-f0-9]{4}(-)[a-f0-9]{4}(-)[a-f0-9]{4}(-)[a-f0-9]{12}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990090_1.txt;0.8;0.0;0.0;0.3;0.13;0.39;0.0;0.19;0.19;0.01;0.02;0.1;0.19;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z 0-9 \. ,']{2,25}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990091_1.txt;1.23;0.0;0.0;0.29;0.13;0.41;0.0;0.28;0.22;0.01;0.02;0.15;0.2;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z ]{10,500}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990093_1.txt;2.85;0.02;0.02;0.25;0.12;0.34;0.01;0.2;0.19;0.01;0.02;0.16;0.26;0.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9\-]{36}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990095_1.txt;0.93;0.0;0.0;0.28;0.12;0.38;0.0;0.29;0.22;0.01;0.01;0.16;0.2;0.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9\s]{1,30}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990096_1.txt;0.71;0.0;0.01;0.35;0.12;0.36;0.0;0.27;0.22;0.0;0.01;0.16;0.22;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9][-,\.a-z0-9]{4,29}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990097_1.txt;0.68;0.01;0.0;0.28;0.12;0.38;0.0;0.24;0.21;0.01;0.02;0.16;0.19;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9][a-z0-9][a-z0-9]{2,62}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990098_1.txt;0.82;0.01;0.0;0.29;0.14;0.37;0.0;0.28;0.22;0.01;0.02;0.16;0.22;0.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9]{32}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990099_1.txt;0.75;0.0;0.0;0.28;0.12;0.36;0.0;0.2;0.22;0.01;0.02;0.16;0.23;0.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9]{8,32}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990100_1.txt;1.16;0.01;0.0;0.29;0.14;0.36;0.0;0.25;0.22;0.02;0.02;0.17;0.22;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9_-]{40,255}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990101_1.txt;1.36;0.0;0.0;0.26;0.11;0.28;0.0;0.21;0.2;0.0;0.01;0.16;0.21;0.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9_-]{6,40}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990102_1.txt;1.14;0.0;0.01;0.31;0.13;0.38;0.0;0.4;0.22;0.02;0.02;0.16;0.16;0.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9_\|\{\}\[\]\^]{4,36}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990103_1.txt;0.0;0.01;0.0;0.24;0.11;0.38;0.0;0.47;0.22;0.01;0.02;0.17;0.25;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9_]{1,80}/[a-z0-9_]{1,80}\?$;../runGen4Rest/hyper-03-08/stackoverflow-between_990104_1.txt;0.03;0.01;0.0;0.32;0.12;0.38;0.0;0.24;0.34;0.02;0.02;0.16;0.22;0.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30002
^[a-zA-Z ]{2,30}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990107_1.txt;0.55;0.0;0.01;0.24;0.12;0.26;0.0;0.3;0.16;0.02;0.01;0.09;0.24;0.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z''-'\s]{1,40}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990108_1.txt;1.05;0.01;0.0;0.36;0.13;0.39;0.0;0.29;0.24;0.01;0.02;0.17;0.2;0.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z'.,-]{5,500}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990110_1.txt;3.28;0.02;0.0;0.29;0.12;0.36;0.0;0.26;0.22;0.0;0.01;0.17;0.22;0.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z'.\s]{1,40}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990111_1.txt;0.95;0.01;0.0;0.4;0.14;0.41;0.0;0.29;0.22;0.02;0.02;0.17;0.22;0.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9#][a-zA-Z0-9 #]{9,28}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990113_1.txt;0.74;0.01;0.0;0.31;0.13;0.42;0.0;0.24;0.22;0.01;0.01;0.17;0.24;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9*#_-]{8,30}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990114_1.txt;0.73;0.01;0.01;0.27;0.14;0.34;0.0;0.28;0.22;0.01;0.02;0.16;0.22;0.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9@.-_]{4,39}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990119_1.txt;1.09;0.01;0.01;0.29;0.12;0.37;0.0;0.26;0.22;0.0;0.02;0.15;0.22;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9]*[a-zA-Z0-9 _][a-zA-Z0-9]{2,24}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990121_1.txt;4.64;0.01;0.02;0.48;0.45;0.83;0.04;0.23;0.16;0.04;0.03;0.08;0.48;0.57;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^[a-zA-Z0-9][a-zA-Z0-9 ._-]{1,31};../runGen4Rest/hyper-03-08/stackoverflow-between_990122_1.txt;0.0;0.0;0.0;0.3;0.13;0.35;0.0;0.41;0.07;0.01;0.01;0.02;0.22;0.54;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^[a-zA-Z0-9][a-zA-Z0-9-]{1,61}[a-zA-Z0-9]\.[a-zA-Z]+(\.[a-zA-Z]+)$;../runGen4Rest/hyper-03-08/stackoverflow-between_990123_1.txt;0.41;0.01;0.0;0.28;0.12;0.39;0.0;0.25;0.34;0.01;0.02;0.16;0.22;0.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300026
^[a-zA-Z0-9][a-zA-Z0-9-]{1,61}[a-zA-Z0-9]\.[a-zA-Z]{2,}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990124_1.txt;0.42;0.02;0.0;0.3;0.12;0.41;0.0;0.25;0.32;0.01;0.02;0.17;0.22;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9][a-zA-Z0-9\._-]{2,31}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990125_1.txt;1.24;0.01;0.0;0.31;0.14;0.39;0.0;0.27;0.24;0.0;0.02;0.16;0.22;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9]{,255}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990126_1.txt;2.92;0.01;0.0;0.3;0.13;0.4;0.0;0.29;0.34;0.01;0.02;0.17;0.07;0.62;0;0;0;0;0;0;ERR;0;0;0;0;0;;0;10.300002
^[a-zA-Z0-9]{12}-[a-zA-Z0-9]{9}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990130_1.txt;1.14;0.01;0.0;0.3;0.13;0.39;0.0;0.3;0.12;0.01;0.02;0.16;0.23;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9]{25}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990131_1.txt;0.9;0.01;0.0;0.31;0.13;0.42;0.0;0.3;0.22;0.0;0.01;0.17;0.25;0.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9]{50,}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990132_1.txt;0.71;0.04;0.03;0.44;0.37;0.39;0.03;0.22;0.16;0.04;0.04;0.06;0.4;ERR;1;1;1;1;1;1;1;0;1;1;1;1;1;ERR;10.5
^[a-zA-Z0-9]{6,32}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990133_1.txt;1.3;0.0;0.0;0.29;0.13;0.4;0.0;0.32;0.22;0.01;0.02;0.17;0.31;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9]{8}-[a-zA-Z0-9]{4}-[a-zA-Z0-9]{4}-[a-zA-Z0-9]{4}-[a-zA-Z0-9]{12}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990134_1.txt;0.64;0.01;0.01;0.28;0.08;0.3;0.0;0.26;0.16;0.02;0.01;0.15;0.24;0.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9_ -]{1,244}\.[a-zA-Z0-9]{1,10}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990135_1.txt;1.17;0.01;0.01;0.28;0.13;0.36;0.0;0.26;0.34;0.01;0.02;0.14;0.21;0.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9_\-\.\+]{5,22}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990136_1.txt;0.69;0.0;0.01;0.29;0.13;0.38;0.0;0.25;0.22;0.01;0.01;0.14;0.18;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9_\-\s]{3,100}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990137_1.txt;0.83;0.01;0.0;0.33;0.12;0.37;0.0;0.27;0.23;0.01;0.01;0.15;0.22;0.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9_\.]{3,28}(.pdf|.txt|.doc|.docx|.png|.gif|.jpeg|.jpg|.zip|.rar)$;../runGen4Rest/hyper-03-08/stackoverflow-between_990138_1.txt;0.04;0.02;0.0;0.37;0.14;0.68;0.01;0.26;0.28;0.02;0.02;0.16;0.26;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.632288
^[a-zA-Z0-9_]{3,30}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990139_1.txt;0.77;0.01;0.01;0.29;0.13;0.38;0.0;0.24;0.21;0.01;0.02;0.17;0.25;0.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z0-9_]{5,255}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990140_1.txt;1.64;0.01;0.0;0.3;0.12;0.36;0.0;0.24;0.21;0.02;0.02;0.16;0.24;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z1-9][a-zA-Z1-9_\.-]{2,64}[^\.-]$;../runGen4Rest/hyper-03-08/stackoverflow-between_990141_1.txt;0.33;0.0;0.0;0.29;0.13;0.44;0.0;0.24;0.09;0.01;0.02;0.15;0.22;0.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30003
^[a-zA-Z\-\s\u0022\u0022\u0022]{2,50}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990142_1.txt;0.63;ERR;ERR;0.36;0.12;0.44;0.0;0.25;0.21;0.01;0.01;0.15;0.23;0.65;0;ERR;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.5
^[a-zA-Z\-]{3,30}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990143_1.txt;1.0;0.0;0.0;0.31;0.12;0.38;0.0;0.28;0.22;0.02;0.02;0.16;0.24;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z\s]*.{1,35}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990144_1.txt;5.58;0.01;0.02;0.51;0.43;0.9;0.04;0.28;0.23;0.04;0.09;0.08;0.35;0.62;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300001
^[a-zA-Z\s]{1,51}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990146_1.txt;0.96;0.0;0.01;0.37;0.12;0.43;0.0;0.25;0.22;0.01;0.02;0.17;0.22;0.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z\u0022\u0022\u0022\u0022\u0022\u0022\!\-\?""""\. ]{3,999}$;../runGen4Rest/hyper-03-08/stackoverflow-between_990147_1.txt;3.85;ERR;ERR;0.3;0.12;0.32;0.0;0.22;0.23;0.02;0.02;0.15;0.2;0.56;0;ERR;ERR;0;0;0;ERR;ERR;0;0;0;0;0;0;10.5
^[a-zA-Z][-_.a-zA-Z0-9]{5,29}@g(oogle)?mail.com$;../runGen4Rest/hyper-03-08/stackoverflow-between_990149_1.txt;0.04;0.0;0.0;0.25;0.13;0.5;0.0;0.22;0.33;0.01;0.02;0.1;0.33;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.56412
^[a-zA-Z][a-zA-Z- ]{1,33}[a-zA-Z]$;../runGen4Rest/hyper-03-08/stackoverflow-between_990150_1.txt;ERR;0.01;0.0;0.28;0.1;0.41;0.0;0.33;0.09;0.01;0.02;0.14;0.22;0.54;ERR;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300028
^[a-zA-Z][a-zA-Z0-9._-]{0,21}([-.][^_]|[^-.]{2})$;../runGen4Rest/hyper-03-08/stackoverflow-between_990151_1.txt;0.54;0.01;0.0;0.31;0.14;0.45;0.0;0.26;0.13;0.01;0.02;0.15;0.19;0.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-zA-Z][a-zA-Z0-9._]{6,28}[a-zA-Z0-9_]$;../runGen4Rest/hyper-03-08/stackoverflow-between_990152_1.txt;0.25;0.0;0.0;0.28;0.12;0.34;0.0;0.26;0.1;0.01;0.01;0.11;0.23;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300017
^[a-zA-Z][a-zA-Z0-9\-\.]{0,61}[a-zA-Z]\w[\w\.\- ]+$;../runGen4Rest/hyper-03-08/stackoverflow-between_990153_1.txt;ERR;0.01;0.04;0.76;0.3;0.71;0.06;0.21;0.17;0.02;0.06;0.07;0.26;0.44;ERR;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300028
